"","control_rep2","exp_rep1","control_rep1","exp_rep2","control_rep3","exp_rep3"
"ENSG00000265458.3",7.57208902669869,7.53677997664353,7.4662194195743,7.39376987636359,7.53125056935943,7.50291293704766
"ENSG00000141562.19",12.7736609362257,12.6900766648099,12.7302572227701,12.7468326405007,12.7619725288989,12.8368274266168
"ENSG00000279744.1",3.93919861250779,3.89534322544105,3.88141342520307,3.89972806483803,3.91276237645794,3.88054888841551
"ENSG00000141568.21",13.071620403202,13.0805126353646,13.0029944557242,13.0484947035227,13.0525761870708,13.0945356896857
"ENSG00000262147.1",4.06463568790865,4.06795969876327,4.08667675682491,4.10320505128832,4.08030849381172,4.10641450333989
"ENSG00000141580.16",13.3899132239673,13.3979122074174,13.3955842635155,13.4506027701296,13.3708292673306,13.3220327681926
"ENSG00000141542.11",9.81429537417471,9.87261320764909,9.808516709479,9.8707453827854,9.8102263957417,9.93545238075014
"ENSG00000141560.15",11.1480012480212,11.0251816293728,11.0260879238595,11.0111911894141,11.0840409687081,11.1436198106678
"ENSG00000167363.14",9.75036510713299,9.63098312866349,9.83579576925074,9.61747735195693,9.85481861053747,9.95043180109544
"ENSG00000262410.1",3.31411568524645,3.30458055580371,3.31181293775181,3.30939203244993,3.31673432756798,3.30557703239023
"ENSG00000141556.22",13.0415883557029,12.838723139068,13.0013214278532,12.8755996987821,13.0567796455271,13.0414502072257
"ENSG00000141579.7",3.90983388001692,3.92689569248366,3.87607394457842,3.91034082609315,3.88461254694271,3.90239459468379
"ENSG00000175711.9",8.39307746392454,8.36191635174382,8.3239014613421,8.36809839212192,8.44493679872179,8.4040384357514
"ENSG00000176845.13",10.6990036003139,10.5647449890647,10.6448500006812,10.6326100822518,10.7122581938312,10.8765438758785
"ENSG00000274370.1",5.78943205220194,5.75816906573788,5.84055410041379,5.80364979600625,5.82435857935575,5.78501385753556
"ENSG00000261888.1",7.57025914229063,7.57632368894865,7.59336443846526,7.49339678458633,7.7370256665018,7.68458339663469
"ENSG00000290877.1",5.09917168735341,5.05747526259928,5.02825985406519,5.06029390385725,5.05930683753503,5.00104274008051
"ENSG00000101557.15",13.8570894402044,13.9411776898777,13.9029508761921,13.8650869479438,13.8528762122407,13.831386267898
"ENSG00000079134.13",11.0959850131631,11.170465063662,11.0981967740814,11.1028095146493,11.1074982168128,11.0099913550851
"ENSG00000158270.12",10.5218070898588,9.7025891361174,10.5055605600411,9.86983281381707,10.4753926573817,10.248019212239
"ENSG00000079101.18",7.05041655268806,6.83462306475005,7.02133792517339,6.88136305508016,6.96912759334053,6.99613420283685
"ENSG00000176912.7",7.01215062132292,6.96426884967504,6.90023004499346,6.94604021955928,6.94679937999027,7.12033747121272
"ENSG00000266456.1",3.9749124050271,3.93963219700305,3.93740908442534,3.90697940830222,3.91653583531713,3.84734176737068
"ENSG00000176890.16",12.0332456361049,12.0188552819732,11.9494105757449,12.0388749126821,11.9979023596978,12.1593218668824
"ENSG00000132199.20",10.6290408359779,10.5730491308619,10.6218882035389,10.6501140457073,10.5964484319745,10.6623570357537
"ENSG00000176105.14",13.37041351756,13.4582437518941,13.4261834317689,13.3883799116362,13.3498834927479,13.1748561546559
"ENSG00000273355.2",6.52545934049391,6.4410852681033,6.54046513383552,6.47626084042237,6.5167240212032,6.5171354882637
"ENSG00000265179.9",7.55813399968255,6.83828589754311,7.43101726865588,6.88416891889091,7.40692688901168,7.38559000063857
"ENSG00000141433.13",10.3260104086288,9.18838446287419,10.245341452931,9.19379992580244,10.1950679379383,10.1940287803215
"ENSG00000263551.6",3.42947742389501,3.45897165834802,3.43937519055037,3.4475877921761,3.43925057977533,3.44411134566823
